Name,Pos,Date,Team,Opp,Result,Att,Cmp,Pct,Yds,YPA,TD,Int,Lg,Sack,Rate,,,,,,,,,,
,,9/10/12,Cin,@ Bal,"L, 44-13",37,22,59.5,221,6,0,1,27,28-Apr,65.3,9/10/12,Cin,@ Bal,"L, 44-13",3,11,3.67,6,0,1
,,9/16/12,Cin,Cle,"W, 34-27",31,24,77.4,318,10.3,3,1,50t,23-Jun,128.2,9/16/12,Cin,Cle,"W, 34-27",3,4,1.33,3,0,1
,,9/23/12,Cin,@ Was,"W, 38-31",27,19,70.4,328,12.1,3,1,59t,16-Feb,132.9,9/23/12,Cin,@ Was,"W, 38-31",2,16,8,17,0,0
,,9/30/12,Cin,@ Jax,"W, 27-10",31,20,64.5,244,7.9,2,1,42,0/0,96.7,9/30/12,Cin,@ Jax,"W, 27-10",6,5,0.83,5,1,2
,,10/7/12,Cin,Mia,"L, 17-13",43,26,60.5,234,5.4,1,2,24,16-Mar,63.5,10/7/12,Cin,Mia,"L, 17-13",4,21,5.25,12,0,2
,,10/14/12,Cin,@ Cle,"L, 34-24",46,31,67.4,381,8.3,3,3,57t,19-Feb,87.3,10/14/12,Cin,@ Cle,"L, 34-24",2,5,2.5,3,0,0
,,10/21/12,Cin,Pit,"L, 24-17",28,14,50,105,3.8,1,1,17,0/0,56.4,10/21/12,Cin,Pit,"L, 24-17",1,-1,-1,-1,0,0
,,11/4/12,Cin,Den,"L, 31-23",42,26,61.9,299,7.1,1,1,52,24-May,81.3,11/4/12,Cin,Den,"L, 31-23",2,16,8,11,0,1
,,11/11/12,Cin,NYG,"W, 31-13",30,21,70,199,6.6,4,0,56t,0/0,127.6,11/11/12,Cin,NYG,"W, 31-13",2,-2,-1,-1,0,0
,,11/18/12,Cin,@ KC,"W, 28-6",29,18,62.1,230,7.9,2,0,40,10-Feb,109.8,11/18/12,Cin,@ KC,"W, 28-6",3,13,4.33,11,1,2
,,11/25/12,Cin,Oak,"W, 34-10",30,16,53.3,210,7,3,0,48,16-Feb,109,11/25/12,Cin,Oak,"W, 34-10",4,5,1.25,8,0,0
,,12/2/12,Cin,@ SD,"W, 20-13",38,25,65.8,211,5.6,1,2,19t,Jan-00,66.9,12/2/12,Cin,@ SD,"W, 20-13",4,5,1.25,6t,1,2
,,12/9/12,Cin,Dal,"L, 20-19",33,20,60.6,206,6.2,1,1,25,16-May,76.1,12/9/12,Cin,Dal,"L, 20-19",1,0,0,0,0,0
,,12/13/12,Cin,@ Phi,"W, 34-13",27,13,48.1,127,4.7,1,0,19,Jun-35,74.2,12/13/12,Cin,@ Phi,"W, 34-13",8,18,2.25,11t,1,3
,,12/23/12,Cin,@ Pit,"W, 13-10",41,24,58.5,278,6.8,0,2,25,25-Jun,58.8,12/23/12,Cin,@ Pit,"W, 13-10",0,0,0,0,0,0
,,12/30/12,Cin,Bal,"W, 23-17",15,10,66.7,78,5.2,1,0,17,1-Feb,101.5,12/30/12,Cin,Bal,"W, 23-17",2,4,2,3,0,0
,,1/5/13,Cin,@ Hou,"L, 19-13",30,14,46.7,127,4.2,0,1,45,9-Feb,44.7,1/5/13,Cin,@ Hou,"L, 19-13",4,15,3.75,12,0,1
,,9/8/13,Cin,@ Chi,"L, 24-21",33,26,78.8,282,8.5,2,2,45t,5-Jan,97.2,9/8/13,Cin,@ Chi,"L, 24-21",2,2,1,3,0,1
,,9/16/13,Cin,Pit,"W, 20-10",45,25,55.6,280,6.2,1,0,61,0/0,81.7,9/16/13,Cin,Pit,"W, 20-10",3,10,3.33,4,0,0
,,9/22/13,Cin,GB,"W, 34-30",28,20,71.4,235,8.4,2,1,32,20-Apr,105.5,9/22/13,Cin,GB,"W, 34-30",4,3,0.75,4,0,0
,,9/29/13,Cin,@ Cle,"L, 17-6",42,23,54.8,206,4.9,0,1,29,3-Feb,58.2,9/29/13,Cin,@ Cle,"L, 17-6",4,13,3.25,10,0,2
,,10/6/13,Cin,NE,"W, 13-6",27,20,74.1,212,7.9,0,1,28,Apr-33,81.1,10/6/13,Cin,NE,"W, 13-6",6,25,4.17,9,0,1
,,10/13/13,Cin,@ Buf,"W, 27-24",40,26,65,337,8.4,3,1,54,19-Mar,105.9,10/13/13,Cin,@ Buf,"W, 27-24",7,17,2.43,6,0,2
,,10/20/13,Cin,@ Det,"W, 27-24",34,24,70.6,372,10.9,3,0,82t,8-Jan,135.9,10/20/13,Cin,@ Det,"W, 27-24",1,6,6,6,0,0
,,10/27/13,Cin,NYJ,"W, 49-9",30,19,63.3,325,10.8,5,1,53,2-Jan,125.7,10/27/13,Cin,NYJ,"W, 49-9",0,0,0,0,0,0
,,10/31/13,Cin,@ Mia,"L, 22-20",53,32,60.4,338,6.4,0,3,26,May-36,55.4,10/31/13,Cin,@ Mia,"L, 22-20",5,12,2.4,10,0,2
,,11/10/13,Cin,@ Bal,"L, 20-17",51,24,47.1,274,5.4,2,3,51t,30-May,52.2,11/10/13,Cin,@ Bal,"L, 20-17",6,22,3.67,12,0,3
